req_id,req_text,source,true_label,notes
REQ-048,System features are organized by use cases and functional hierarchy so that the main functions of the system will be understandable.,keepass,missing,
REQ-049,This feature provides the ability to create a new database,keepass,ambiguous,
REQ-050,It is the first thing a user must do to begin using KeePass. Its main function is the determination of the master password that will unlock the database from now on,keepass,missing,
REQ-051,Stimulus/Response Sequences,keepass,missing,
REQ-052,User opens KeePass and select New->Database,keepass,ok,
REQ-053,User writes his private Master Password and/or selects Key File,keepass,ok,
REQ-054,Master Password confirmation: the user retypes Master Password,keepass,ok,
REQ-055,The main database window opens,keepass,ok,
REQ-056,Alternative Data Flows,keepass,missing,
REQ-057,Alternative Data Flow 1,keepass,missing,
REQ-058,Alternative Data Flow 2,keepass,missing,
REQ-059,Alternative Data Flow 3,keepass,missing,
REQ-060,The user does not determines a Master Password,keepass,ok,
REQ-061,A message is appeared which prompts him to enter a password or key file,keepass,ok,
REQ-062,Functional Requirements,keepass,missing,
REQ-063,REQ-1: KeePass must be downloaded and installed,keepass,ambiguous,
REQ-064,REQ-2: Master Password has no limits in length. A whole sentence can be used with more than 100 characters.,keepass,ok,
REQ-065,This feature allows the user to open an existing database.,keepass,ok,
REQ-066,"When choosing to open a database a user is transferred to his documents where he navigates to find the database he wants. When the database is found, the master password is wanted so that the database will be unlocked. Once this is done the user is free to access his data.",keepass,ambiguous,
REQ-068,User opens KeePass and select Open->Database,keepass,ok,
REQ-069,User navigates through his folders,keepass,ok,
REQ-070,User selects a database,keepass,ok,
REQ-071,User types Master Password,keepass,ok,
REQ-075,User selects a type of folder non suitable for database,keepass,ok,
REQ-076,A message “file not found” appears,keepass,ok,
REQ-077,User selects another folder,keepass,ok,
REQ-079,Master Password is wrong,keepass,ok,
REQ-080,A message “invalid/wrong key” appears,keepass,ok,
REQ-081,User types another master key,keepass,ok,
REQ-084,Folder selected must be of type the database can read and that is “name”.kdb,keepass,ok,
REQ-085,This feature allows the user to save any changes or updates he has performed to his database.,keepass,ambiguous,
REQ-086,"When a database is opened, the user can access his passwords, organize them into new
groups and subgroups, delete and add entries and so much more. But when it is time for the database to close or during his working on the database, he can save the changes made.",keepass,ambiguous,
REQ-088,User opens KeePass and changes his data,keepass,ok,
REQ-089,User selects save database,keepass,ok,
REQ-092,User gives a new database name,keepass,ok,
REQ-093,New database is saved and opens with the same master password,keepass,ok,
REQ-095,User continues working after he saves the database,keepass,ok,
REQ-097,User wants to exit KeePass,keepass,ok,
REQ-098,A message is appeared asking if he wants to save the database,keepass,ok,
REQ-099,"User selects yes and exits, or no and exits or cancel and return to database",keepass,ok,
REQ-100,Alternative Data Flow 4,keepass,missing,
REQ-101,Users minimizes the database,keepass,ok,
REQ-102,A message is appeared asking if he wants to save the database before locking,keepass,ok,
REQ-104,Databases must have different names or else the previews one will be replace if selected,keepass,ok,
REQ-105,This feature allows user to print a selection of data that are stored in the database.,keepass,ambiguous,
REQ-106,"While working on the database, the user has the option to print data from his database. This can be done by selecting print. When this happens, a list of data types that can be printed are shown and the user can select the data to be printed. More specifically fields that can be selected for printing are: Backup entries, which contain entries in the back up group, password groups, group tree, title, username, password, URL, notes, creation time, last access, last modification, expires, icon, UUID and attachment.",keepass,ok,
REQ-108,User selects print from file menu,keepass,ok,
REQ-109,"The list of options opens with checked the fields: password groups, title, user name, password, URL, notes",keepass,ok,
REQ-110,User returns on the main window,keepass,ok,
REQ-113,3a. User selects some more fields and/or unselects some others.,keepass,ok,
REQ-115,User unselects all fields,keepass,ok,
REQ-116,An empty report is printed,keepass,ok,
REQ-120,There must be entries in the database in order for them to be printed,keepass,ok,
REQ-121,This feature allows user to search for keywords in his database.,keepass,,
REQ-122,"There is the ability to search in the database for usernames, groups, passwords, URLs, notes and titles. This is very useful when the user needs to find out very quickly which password is required in one account or what username he has put on another account. It is not necessary to write in the search field all characters. By writing just one character the database will present all data which contains it or are related with it.",keepass,,
REQ-124,"User types a password, user name, URL, word of notes, title or group that exist in the database",keepass,,
REQ-125,The list of data related to search word are appeared in the main window,keepass,,
REQ-128,User types two or more words in the search field,keepass,,
REQ-129,Nothing appears in the main window,keepass,,
REQ-131,User does not type anything,keepass,,
REQ-134,"User types part or even just one character of password, user name, URL, word
of notes, title or group",keepass,,
REQ-136,User types data not related with the database,keepass,,
REQ-139,"All data related to the word must be shown. For example if user types “abc” and abc is part of a password and of a username, both entries must be shown",keepass,,
REQ-140,This feature is used to keep data organized in categories for easier access.,keepass,,
REQ-141,There is the ability to organize data into groups and subgroups. The user can create a new group or subgroups into an existing group. When creating a group/subgroup the user must select a name and then he can add entries into it.,keepass,,
REQ-143,User opens KeePass and selects to add new group/subgroup,keepass,,
REQ-144,User types a name and has the option to select an image,keepass,,
REQ-145,The group/subgroup is created,keepass,,
REQ-146,The access returns to the database main window,keepass,,
REQ-149,User leaves the group/subgroup name field empty,keepass,,
REQ-150,A message is appeared “Add a name for the group/subgroup”,keepass,,
REQ-152,The access returns to main window,keepass,,
REQ-154,A name is required in order for the new group/subgroup to be created,keepass,,
REQ-155,A subgroup cannot be created when no group is selected,keepass,,
REQ-156,Modify group/subgroup,keepass,,
REQ-157,This feature allows user to change a name given to a group/subgroup.,keepass,,
REQ-158,"When user wants to change a group or subgroup’s name he has the ability to do that by
modifying it.",keepass,,
REQ-160,User opens KeePass and selects modify group/subgroup,keepass,,
REQ-161,User types the new name and has the option to select an image,keepass,,
REQ-162,The group/subgroup changes name,keepass,,
REQ-169,The group/subgroup’s name remains the same,keepass,,
REQ-172,A name is required in order for the group/subgroup to be renamed,keepass,,
REQ-173,Delete Group/Subgroup,keepass,,
REQ-174,This feature allows the user to delete a group/subgroup.,keepass,,
REQ-175,"When a user wants to delete an existing group/subgroup he can do this by selecting Delete group/subgroup from the edit menu. In order for that to happen, he must have chosen first a group/subgroup.",keepass,,
REQ-177,User opens KeePass and selects a group/subgroup,keepass,,
REQ-178,User selects to delete the group/subgroup,keepass,,
REQ-179,A message is appeared to confirm the delete,keepass,,
REQ-180,The group/subgroup is deleted,keepass,,
REQ-181,The main window opens,keepass,,
REQ-184,The group/subgroup is not deleted,keepass,,
REQ-186,This feature allows user to find data into a specific group/subgroup.,keepass,,
REQ-187,"The user selects a group/subgroup and then he chooses “find in this group” from file menu. Then a window appears which prompts the user to write a sequence of characters (letters and numbers) from one character to 200 (or more). After that a menu of options to choose from appears and the user can select to search for: title, user name, password, URL, notes, group name. Search results appear in the main window.",keepass,,
REQ-189,User opens KeePass and selects to find something in a selected group/subgroup,keepass,,
REQ-190,User types the word to search for,keepass,,
REQ-191,User selects the fields which will be searched,keepass,,
REQ-192,Results appears at the database main window,keepass,,
REQ-195,User leaves the find field empty,keepass,,
REQ-196,All data from the group/subgroup appear,keepass,,
REQ-198,User leaves all search in boxes unchecked,keepass,,
REQ-201,The main window appears,keepass,,
REQ-207,In order to find something in a group a word must be placed in the find field,keepass,,
REQ-208,This feature adds a new entry on the database.,keepass,,
REQ-209,"The user can add a new entry on the database by clicking add entry on the main menu. When he does this, a window opens which is actually a form. In this form the user completes the fields he wants. He can fill in fields like: group where the entry will be added, title, user name, password, repeat password, URL, notes, expiration date and attachment file. Not all fields are required for an entry to be created. In fact an entry can be added with no fields at all. By selecting OK the entry is created in the group selected.",keepass,,
REQ-211,User opens KeePass and selects to add an entry,keepass,,
REQ-212,"User fills in the form, as many fields as he wants, from 1 to 9",keepass,,
REQ-213,The new entry is added in the selected group,keepass,,
REQ-216,User fills in the password field,keepass,,
REQ-217,The repeat password field is not identical with the password field,keepass,,
REQ-218,A message appears “the repeated password must be identical with the password,keepass,,
REQ-220,User leaves all fields empty,keepass,,
REQ-222,The help file or URL field features or Autotype is opened,keepass,,
REQ-226,An entry must belong to a group to be created,keepass,,
REQ-227,When the password field is completed the repeat password field must be completed,keepass,,
REQ-228,REQ-13: Password field and repeat password field must be identical,keepass,,
REQ-229,This feature allows the user to change or modify an existing entry.,keepass,,
REQ-230,"The user can modify the context of an entry he already has added. This can be done by
selecting view/edit entry. In order for that to happen, the user must select an entry first.
When he does this, the form he filled in when he created or last modified the entry open.
Then the user can change the group, title, user name, password, URL, notes, expiration date and attachment file. His changes are saved by clicking OK.",keepass,,
REQ-232,User opens KeePass and selects to view/edit an existing entry,keepass,,
REQ-233,User changes the fields he wants in the form,keepass,,
REQ-234,The modified entry is saved in the selected group,keepass,,
REQ-237,User changes the password field,keepass,,
REQ-243,The main window opens and the selected entry is not modified,keepass,,
REQ-245,ìAn entry must be selected to be viewed or modified,keepass,,
REQ-246,"ìWhen the password field is changed the repeat password field must be
Changed and be identical with password field",keepass,,
REQ-247,This feature creates an exact copy of the selected entry in the same group.,keepass,,
REQ-248,The user can create an exact copy of an entry. This can be done by selecting an entry and clicking duplicate entry. When this is done the new entry is added in the same group were the first was.,keepass,,
REQ-250,User opens KeePass and selects an existing entry,keepass,,
REQ-251,User duplicates entry,keepass,,
REQ-252,The new entry is added below the first one,keepass,,
REQ-255,An entry must be selected before it is duplicated,keepass,,
REQ-256,This feature allows the user to delete an existing entry,keepass,,
REQ-257,The user can delete an existing entry by selecting it and then by clicking delete entry. When this is done a message appears and informs the user that if he deletes the entry he won’t be able to restore it back.,keepass,,
REQ-259,User opens KeePass and selects to delete an existing entry,keepass,,
REQ-260,A message appears “Are you sure you want to delete the selected entry?”,keepass,,
REQ-261,The deleted entry is permanently removed from the database,keepass,,
REQ-264,User selects more than one entry,keepass,,
REQ-267,REQ-17: An entry must be selected to be deleted,keepass,,
REQ-268,This feature allows user to choose one of the language translations that are available in KeePass,keepass,,
REQ-269,"The user can select between a number of translations that are available at KeePass website.
There are available translations in Arabic, Brazilian, Bulgarian, Catalan, Chinese
(Simplified and Traditional), Czech, Danish, Dutch, English, Estonian, Finnish, French,
Galician, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Lithuanian,
Macedonian, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak,
Spanish, Swedish, Turkish and Ukrainian. All the user has to do is to select change
language from the view menu and then the language he wants. If he already has download languages packets he can choose one of them. If he wants another language pack he can select get more language. Doing this he will be transferred at KeePass website and choose the language he wants for downloading.",keepass,,
REQ-271,"1. User opens KeePass and selects to change language from the view menu
2. The user selects a language to load from the list that appears
3. A message appears that informs user that the installation has been done and in order for the changes to take place KeePass must be restarted
4. User selects yes (restart now)
5. KeePass asks to save any changes that may have been made in the database and restarts
6. User unlocks the database using the Master Password
7. The database appears translated in the new language",keepass,,
REQ-274,User selects get more languages,keepass,,
REQ-275,The browser opens in KeePass website were translations are located,keepass,,
REQ-276,User selects a language he wants,keepass,,
REQ-277,The language file downloads and can be found at the list with available languages in the language menu,keepass,,
REQ-279,User selects no (restart later),keepass,,
REQ-280,No changes are appeared in the database until the next time KeePass restarts,keepass,,
REQ-282,No changes are made in the database,keepass,,
REQ-284,"REQ-18: An internet connection and a browser are required in order to download new language translations
For the following features, use cases are not included",keepass,,
REQ-285,This feature allows user to define a sequence of keypresses which KeePass will automatically perform.,keepass,,
REQ-286,The user defines the sequences which can be sent to any other open window like browsers or login accounts. By default the sent keystroke sequence is {USERNAME}{TAB}{PASSWORD}{ENTER}. There is the ability for the user to define his own auto-type sequence in the notes field of each entry. The sequence must be prefixed with “Auto-Type” and length of one line. If a sequence is more than a line it cannot be used and in case of two sequences in one note’s field only the first one is used. There are 3 methods to invoke auto-type.,keepass,,
REQ-287,The first method is to use the context menu command and perform auto-type while the entry is selected.,keepass,,
REQ-288,The second method is to select an entry and press Ctrl+V,keepass,,
REQ-289,The third method is to use the system-wide auto-type hot key so that KeePass can search all entries in the database for matching sequences.,keepass,,
REQ-291,The prefix “Auto-Type:” is required in front of each sequence,keepass,,
REQ-292,Sequence’s length must not be more than a line (59 characters),keepass,,
REQ-293,"If two auto-types are referred in one note field, only the first is used",keepass,,
REQ-294,This feature allows user to pass a file patch in the command line so that KeePass will open it immediately after start up.,keepass,,
REQ-295,"The database file location is passed as argument in the command line. More about this
feature and examples for using it can be found at help contents in KeePass",keepass,,
REQ-297,Only one database file is allowed in command line options,keepass,,
REQ-298,"In case a space is found in the path, it must be enclosed into quotes",keepass,,
REQ-299,This feature is a composition of master password and key files and all its composites are required so that the database can be unlocked.,keepass,,
REQ-300,"The database can be unlocked with a master password, a key file or both of them. But the same composition of them must be used always.
A master key is a password the user creates. Once a master key is created for a database, it is always required. In case the user forgets it, the database can never be opened again by any way.
A key file is a file that locks the database. The database opens when this file is present. If the file is lost and there are no copies of it, all data are gone forever and database never unlocks again.",keepass,,
REQ-302,"If a master password is required to unlock the database, the database doesn’t
open unless the password is entered",keepass,,
REQ-303,"If a key file is required to unlock the database, the database doesn’t open unless the key file is present",keepass,,
REQ-304,"If there is a composite key, both master password and key file are required",keepass,,
REQ-305,"In case of lost master password or key file, the database never unlocks again. There is no recovery",keepass,,
REQ-306,There is no backdoor or key that unlocks all databases,keepass,,
REQ-307,This feature gives the ability to user to import/export files from/to database.,keepass,,
REQ-308,"There is the ability to import data from CSV files, code wallet, password safe and password vault. There are available plug-ins which add more import capabilities and formats and those are: File format CSV and File format XML. There isn’t any standard password database format and every password manager uses its own file format. Despite that, almost all support exporting to CSV or XML files.",keepass,,
REQ-310,REQ-29: File formats are not specialized password database formats,keepass,,
REQ-311,REQ-30: File formats only specify a low-level layout of stored data,keepass,,
REQ-312,This feature allows switching back from an application to KeePass.,keepass,,
REQ-313,"The global hot key takes the user back from one window to KeePass. In case of multiple
databases running of KeePass the global hot key restores the window which was opened first of all. The global hot key is Ctrl+Alt+K",keepass,,
REQ-315,Global hot key cannot be changed,keepass,,
REQ-316,This feature generates random passwords.,keepass,,
REQ-317,"The password generator creates random passwords every time an entry is created. This
password may contain letters (big and small) and numbers. The user can keep it or he can put his own in the field. The generation can be based on character sets, patterns or can be created according by rules. This feature can be disabled if user wants it by selecting 0 as password length in the password generator dialog. More about characters sets and patterns can be found at KeePass Help Files including directions and examples.",keepass,,
REQ-319,According to restriction rules that are applied every time.,keepass,,
REQ-320,This feature allows creation of Transaction Authentication Numbers.,keepass,,
REQ-321,"TANs can be passwords that provide security because they can never be used for more than once time. They can be added to user’s database by using TAN wizard and can contain all letters and numbers. When TAN are created, they appear as typical entries which in the field title contain “TAN” so that KeePass will know it’s a TAN. In TAN entries, user cannot change the title, user name or URL but notes can be added. When a TAN is used, its expiration time is set to that current time and the entry expires automatically.",keepass,,
REQ-323,"Title, username or URL cannot be changed in a TAN entry.",keepass,,
REQ-324,"When a TAN is used, it expires automatically and can never be used again.",keepass,,
REQ-325,External Interface Requirements,keepass,,
REQ-326,"User interface includes various forms and windows. The main database window consists of the main menu bar with file, edit, view, tools and help. Under main menu there is a toolbar with shortcuts to most used functions of KeePass. Those are: new, open, save, add entry, edit/view entry, delete entry, copy username to clipboard, copy password to clipboard, find in database and lock workspace. On the main database window are appeared entries from a selected group. Groups and subgroups can be found at a side bar.
When a function is performed like adding, editing or deleting, the active window is the one performing the action. At this time the main database window is inactive and cannot be accessed unless the current active window is closed.
KeePass as referred previously uses NET/Mono and Win32 (MS Windows) interfaces.",keepass,,
REQ-327,Communications Interfaces,keepass,,
REQ-328,Internet connection and a browser are required in order for several functions to be executed such as downloading plug-ins,keepass,,
REQ-329,Other Nonfunctional Requirements,keepass,,
REQ-330,Performance Requirements,keepass,,
REQ-331,"When a password is copied, it remains on memory for only 10 seconds. If in the meanwhile it is not pasted anywhere, it must be copied again. That happens so that if user copies a password and not paste it anywhere, the password cannot be found by anyone later.",keepass,,
REQ-332,"When a USB which contains the database is removed from a computer while changes haven’t been completely saved, the database is damaged and cannot be opened. In this case the repair functionality can help by repairing KeePass database file from tools menu.
In case the user forgets or loses the Master Password, the repair functionality won’t help.
In case the header of the database, which is the first few bytes, is corrupted, again the repair functionality won’t help.
To avoid this kind of situations, backups can be done regularly.",keepass,,
REQ-333,Software Quality Attributes,keepass,,
REQ-334,KeePass is a small and light project so it does not need to be installed. All it takes is unpacking from the Zip package. It can be transferred also in a USB stick with no additional  configuration needed.,keepass,,
REQ-335,"KeePass is a project that once uninstalled from a computer, leaves no trace behind. So there is no way passwords and other data in the database to be found later.",keepass,,
REQ-336,KeePass is developed under GNU General Public License version 2 or later (copy from http://www.gnu.org/licenses/gpl.html) and can be distributed under those terms.,keepass,,
REQ-337,KeePass can be found and downloaded from www.sourceforge.com and the project’s official website at http://keepass.info/ for free.,keepass,,
REQ-338,"Software Requirements Specification 
For Voucher Management System",microcare,,
REQ-339,General overview of the VMUS (Voucher Maintenance Unit System),microcare,,
REQ-340,"System Development: 
The system will be developed on Oracle 9i platform Front end will be VB 
(visual basic) Reports will be crystal reports 9",microcare,,
REQ-341,"System design: 
The system will be user friendly with maximum master table structure with 
all transaction screens to have drop down selection menus to minimize data entry errors. 
The main data entry screen on claims entry to have drop drown menu from patient’s profile 
selection to medicine cost to have drop down. Minimize the use of key board for any number 
entry to have a faster transaction data entry. The system will be easily trainable for the user 
with minimum computer skill with simple user step by step manual.",microcare,,
REQ-342,"Storage efficiency: 
The structural design of the database will have sequential links with surrogate 
keys. The database storage will be highly efficient to manage and avoid empty unused spaced 
blocked, properly defragmenter on a periodic basis. This efficiency will have a maximum 
provision to expand this program beyond the pilot period, 
if the program requirements remain same.",microcare,,
REQ-343,"Security: 
High intrusion controls will be in place in the system and the database. 
Access level controls, various organizational level user setting 
by including granular model setting.",microcare,,
REQ-344,External Hardware interface:,microcare,,
REQ-345,"Bar-code – 
 the system will interface with the bar-code reader to interface all transaction 
details. E.g. voucher number verifications, claim form entry and 
selection of voucher usage by the clients.",microcare,,
REQ-346,"Bio-metrics – the system will interface with the thumb-print reader for verifying claims form 
used by the clients.",microcare,,
REQ-347,Functional Flow Diagram:,microcare,,
REQ-348,"The purpose of this document is to explain the flow and the requirement 
of Voucher Management System (VMU) required by Marie Stopes International Uganda
(MSIU) during the various meetings held between MSIU and Microcare from 28th of Nov 
2005 to 30th of Nov 2005. This document is purely based on the Functional Flow Diagram 
designed by Microcare. The document will explain every small 
entity of the system including various code generations, Bar-coding and Graphical User 
Interface etc. This document will help the system development team to understand the 
overall and detailed functions of every small entity in VMU and to design the system that 
will meet every requirement of the VMU program.  This document will help the testing team 
to prepare the Test Cases and will help them to test every module in the system and overall 
testing of the system, so that the testing team will have confidence on the quality of this 
system.",microcare,,
REQ-349,about MSIU and OBA Program,microcare,,
REQ-350,"Past experiences with development aid showed, that financing inputs, 
e.g. facilities and equipment, does not result in the necessary improvement of health 
outcomes. Thus as a change of paradigm, the OBA concept finances agreed outputs 
with predefined quality rather than pre-defined inputs by selling vouchers for STD 
services at subsidised prices to patients. These vouchers will be refunded to service 
providers in the private sector (medical doctors, qualified nurses and midwives), 
government hospitals, NGOs, and faith-based organisations.  
The major advantages of the OBA approach are, that it allows",microcare,,
REQ-351,"To target resources to address selected health problems,",microcare,,
